Time;S&P
10.09.2019 16:30;2963,05
10.09.2019 16:35;2961,83
10.09.2019 16:40;2962,66
10.09.2019 16:45;2962,79
10.09.2019 16:50;2960,25
10.09.2019 16:55;2959,67
10.09.2019 17:00;2961,54
10.09.2019 17:05;2962,16
10.09.2019 17:10;2962,71
10.09.2019 17:15;2960,77
10.09.2019 17:20;2959,99
10.09.2019 17:25;2959,44
10.09.2019 17:30;2959,6
10.09.2019 17:35;2959,85
10.09.2019 17:40;2959,46
10.09.2019 17:45;2965,77
10.09.2019 17:50;2968,71
10.09.2019 17:55;2966,25
10.09.2019 18:00;2963,45
10.09.2019 18:05;2965,41
10.09.2019 18:10;2967,05
10.09.2019 18:15;2968,87
10.09.2019 18:20;2972,32
10.09.2019 18:25;2971,52
10.09.2019 18:30;2970,93
10.09.2019 18:35;2970,98
10.09.2019 18:40;2971,77
10.09.2019 18:45;2974,15
10.09.2019 18:50;2974,9
10.09.2019 18:55;2973,31
10.09.2019 19:00;2971,79
10.09.2019 19:05;2970,29
10.09.2019 19:10;2971,04
10.09.2019 19:15;2968,06
10.09.2019 19:20;2969,94
10.09.2019 19:25;2969,15
10.09.2019 19:30;2970,55
10.09.2019 19:35;2970,64
10.09.2019 19:40;2969,43
10.09.2019 19:45;2971,07
10.09.2019 19:50;2971,23
10.09.2019 19:55;2968,95
10.09.2019 20:00;2967,33
10.09.2019 20:05;2967,36
10.09.2019 20:10;2965,56
10.09.2019 20:15;2965,61
10.09.2019 20:20;2966,14
10.09.2019 20:25;2965,01
10.09.2019 20:30;2967,08
10.09.2019 20:35;2965,19
10.09.2019 20:40;2964,18
10.09.2019 20:45;2963,17
10.09.2019 20:50;2964,67
10.09.2019 20:55;2965,24
10.09.2019 21:00;2966,94
10.09.2019 21:05;2965,14
10.09.2019 21:10;2965,32
10.09.2019 21:15;2966,31
10.09.2019 21:20;2964,37
10.09.2019 21:25;2965,73
10.09.2019 21:30;2966,76
10.09.2019 21:35;2966,66
